screenwell_name	screenwell_catalog_number	screenwell_plate_location	screenwell_smiles	screenwell_iupac	query_compound	pubchem_cid	drugbank_id
Celecoxib	DL299	3-B08	CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F	4-[5-(4-methylphenyl)-3-(trifluoromethyl)pyrazol-1-yl]benzenesulfonamide	4-[5-(4-methylphenyl)-3-(trifluoromethyl)pyrazol-1-yl]benzenesulfonamide	2662	DB00482
Levetiracetam	DL172	3-B09	CC[C@@H](C(=O)N)N1CCCC1=O	(2S)-2-(2-oxopyrrolidin-1-yl)butanamide	(2S)-2-(2-oxopyrrolidin-1-yl)butanamide	5284583	DB01202
Letrozole	DL300	3-B10	C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3	4-[(4-cyanophenyl)-(1,2,4-triazol-1-yl)methyl]benzonitrile	4-[(4-cyanophenyl)-(1,2,4-triazol-1-yl)methyl]benzonitrile	3902	DB01006
Anastrozole	DL144	3-B11	CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N	2-[3-(2-cyanopropan-2-yl)-5-(1,2,4-triazol-1-ylmethyl)phenyl]-2-methylpropanenitrile	2-[3-(2-cyanopropan-2-yl)-5-(1,2,4-triazol-1-ylmethyl)phenyl]-2-methylpropanenitrile	2187	DB01217
Bicalutamide	270476	3-C02	CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O	N-[4-cyano-3-(trifluoromethyl)phenyl]-3-(4-fluorophenyl)sulfonyl-2-hydroxy-2-methylpropanamide	N-[4-cyano-3-(trifluoromethyl)phenyl]-3-(4-fluorophenyl)sulfonyl-2-hydroxy-2-methylpropanamide	2375	DB01128
Clindamycin Palmitate·HCl	DL102	3-C03	CCCCCCCCCCCCCCCC(=O)OC1C(C(C(OC1SC)C(C(C)Cl)NC(=O)C2CC(CN2C)CCC)O)O.Cl	[6-[2-chloro-1-[(1-methyl-4-propylpyrrolidine-2-carbonyl)amino]propyl]-4,5-dihydroxy-2-methylsulfanyloxan-3-yl] hexadecanoate;hydrochloride	CCCCCCCCCCCCCCCC(=O)OC1C(C(C(OC1SC)C(C(C)Cl)NC(=O)C2CC(CN2C)CCC)O)O.Cl	17750962	
Vorinostat (SAHA)	270288	3-C04	C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO	N'-hydroxy-N-phenyloctanediamide	N'-hydroxy-N-phenyloctanediamide	5311	DB02546
Didanosine	DL302	3-C05	C1C[C@@H](O[C@@H]1CO)N2C=NC3=C2NC=NC3=O	9-[(2R,5S)-5-(hydroxymethyl)oxolan-2-yl]-3H-purin-6-one	C1C[C@@H](O[C@@H]1CO)N2C=NC3=C2NC=NC3=O	135398739	DB00900
Dolasetron	DL199	3-C06	C1[C@H]2CC(CC3N2CC(=O)C1C3)OC(=O)C4=CNC5=CC=CC=C54	(3S,7S)-1,3,7-trihydrogenio-10-oxo-8-azatricyclo[5.3.1.0³,⁸]undecan-5-yl 1H-indole-3-carboxylate	C1[C@H]2CC(CC3N2CC(=O)C1C3)OC(=O)C4=CNC5=CC=CC=C54	14476155	
Enalaprilat Maleate	DL192	3-C07	CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O.C(=C\C(=O)O)\C(=O)O	(Z)-but-2-enedioic acid;(2S)-1-[(2S)-2-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino]propanoyl]pyrrolidine-2-carboxylic acid	(Z)-but-2-enedioic acid;(2S)-1-[(2S)-2-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino]propanoyl]pyrrolidine-2-carboxylic acid	5388961	
Fluvastatin . sodium salt	270466	3-C08	CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@@H](C[C@@H](CC(=O)[O-])O)O)C3=CC=C(C=C3)F.[Na+]	sodium;(E,3S,5R)-7-[3-(4-fluorophenyl)-1-propan-2-ylindol-2-yl]-3,5-dihydroxyhept-6-enoate	sodium;(E,3S,5R)-7-[3-(4-fluorophenyl)-1-propan-2-ylindol-2-yl]-3,5-dihydroxyhept-6-enoate	24906289	
Fosinopril·Na	DL155	3-C09	CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2C[C@@H](C[C@H]2C(=O)[O-])C3CCCCC3.[Na+]	sodium;(2S,4S)-4-cyclohexyl-1-[2-[(2-methyl-1-propanoyloxypropoxy)-(4-phenylbutyl)phosphoryl]acetyl]pyrrolidine-2-carboxylate	CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2C[C@@H](C[C@H]2C(=O)[O-])C3CCCCC3.[Na+]	23681451	
Gemcitabine . hydrochloride	480101	3-C10	C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F.Cl	4-amino-1-[(2R,4R,5R)-3,3-difluoro-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one;hydrochloride	4-amino-1-[(2R,4R,5R)-3,3-difluoro-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one;hydrochloride	60749	
Granisetron·HCl	DL166	3-C11	CN1[C@@H]2CCC[C@H]1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C.Cl	1-methyl-N-[(1S,5R)-9-methyl-9-azabicyclo[3.3.1]nonan-3-yl]indazole-3-carboxamide;hydrochloride	1-methyl-N-[(1S,5R)-9-methyl-9-azabicyclo[3.3.1]nonan-3-yl]indazole-3-carboxamide;hydrochloride	6918003	
Oxaliplatin	400042	3-D02	C1CC[C@H]([C@@H](C1)N)N.C(=O)(C(=O)O)O.[Pt]	(1R,2R)-cyclohexane-1,2-diamine;oxalic acid;platinum	C1CC[C@H]([C@@H](C1)N)N.C(=O)(C(=O)O)O.[Pt]	25199781	
Atazanavir	DL546	3-D03	CC(C)(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC	methyl N-[(2S)-1-[2-[(2S,3S)-2-hydroxy-3-[[(2S)-2-(methoxycarbonylamino)-3,3-dimethylbutanoyl]amino]-4-phenylbutyl]-2-[(4-pyridin-2-ylphenyl)methyl]hydrazinyl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate	methyl N-[(2S)-1-[2-[(2S,3S)-2-hydroxy-3-[[(2S)-2-(methoxycarbonylamino)-3,3-dimethylbutanoyl]amino]-4-phenylbutyl]-2-[(4-pyridin-2-ylphenyl)methyl]hydrazinyl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate	148192	DB01072
Mycophenolate Mofetil	IM101	3-D04	CC1=C(C(=C(C2=C1COC2=O)O)C/C=C(\C)/CCC(=O)OCCN3CCOCC3)OC	2-morpholin-4-ylethyl (E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoate	2-morpholin-4-ylethyl (E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoate	5281078	DB00688
Clofarabine	DL103	3-D05	C1=NC2=C(N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)F)N=C(N=C2N)Cl	(2R,3R,4S,5R)-5-(6-amino-2-chloropurin-9-yl)-4-fluoro-2-(hydroxymethyl)oxolan-3-ol	(2R,3R,4S,5R)-5-(6-amino-2-chloropurin-9-yl)-4-fluoro-2-(hydroxymethyl)oxolan-3-ol	119182	DB00631
Cabergoline	DL219	3-D06	CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)CC=C	(6aR,9R,10aR)-N-[3-(dimethylamino)propyl]-N-(ethylcarbamoyl)-7-prop-2-enyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide	CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)CC=C	54746	DB00248
Ibandronate·Na Monohydrate	DL213	3-D07	CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)[O-].O.[Na+]	sodium;hydroxy-[1-hydroxy-3-[methyl(pentyl)amino]-1-phosphonopropyl]phosphinate;hydrate	sodium;hydroxy-[1-hydroxy-3-[methyl(pentyl)amino]-1-phosphonopropyl]phosphinate;hydrate	23663991	
Imipenem	DL202	3-D08	CC(C1C2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O.O	(5R,6S)-3-[2-(aminomethylideneamino)ethylsulfanyl]-6-[(1R)-1-hydroxyethyl]-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid;hydrate	(5R,6S)-3-[2-(aminomethylideneamino)ethylsulfanyl]-6-[(1R)-1-hydroxyethyl]-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid;hydrate	21864622	
Lomustine	400038	3-D09	C1CCC(CC1)NC(=O)N(CCCl)N=O	1-(2-chloroethyl)-3-cyclohexyl-1-nitrosourea	1-(2-chloroethyl)-3-cyclohexyl-1-nitrosourea	3950	DB01206
Adapalene	GR111	3-D10	COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5	6-[3-(1-adamantyl)-4-methoxyphenyl]naphthalene-2-carboxylic acid	6-[3-(1-adamantyl)-4-methoxyphenyl]naphthalene-2-carboxylic acid	60164	DB00210
Meropenem trihydrate	DL167	3-D11	C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O	(4R,5S,6S)-3-[(3S,5S)-5-(dimethylcarbamoyl)pyrrolidin-3-yl]sulfanyl-6-[(1R)-1-hydroxyethyl]-4-methyl-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid	(4R,5S,6S)-3-[(3S,5S)-5-(dimethylcarbamoyl)pyrrolidin-3-yl]sulfanyl-6-[(1R)-1-hydroxyethyl]-4-methyl-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid	441130	DB00760
Oseltamivir Phosphate	DL194	3-E02	CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)OCC.OP(=O)(O)O	ethyl (3R,4R,5S)-4-acetamido-5-amino-3-pentan-3-yloxycyclohexene-1-carboxylate;phosphoric acid	ethyl (3R,4R,5S)-4-acetamido-5-amino-3-pentan-3-yloxycyclohexene-1-carboxylate;phosphoric acid	78000	
Pamidronate Disodium  Pentahydrate (Pamidronic Acid)	DL196	3-E03	C(CN)C(O)(P(=O)(O)[O-])P(=O)(O)[O-].O.O.O.O.O.[Na+].[Na+]	disodium;[3-amino-1-hydroxy-1-[hydroxy(oxido)phosphoryl]propyl]-hydroxyphosphinate;pentahydrate	disodium;[3-amino-1-hydroxy-1-[hydroxy(oxido)phosphoryl]propyl]-hydroxyphosphinate;pentahydrate	60342	
Pramipexole Dihydrochloride Monohydrate	DL197	3-E04	CCCN[C@H]1CCC2=C(C1)SC(=N2)N.O.Cl.Cl	(6S)-6-N-propyl-4,5,6,7-tetrahydro-1,3-benzothiazole-2,6-diamine;hydrate;dihydrochloride	(6S)-6-N-propyl-4,5,6,7-tetrahydro-1,3-benzothiazole-2,6-diamine;hydrate;dihydrochloride	166589	
Triptorelin Acetate	DL310	3-E05	CC(C)C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N)NC(=O)[C@@H](CC2=CNC3=CC=CC=C32)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CC7=CN=CN7)NC(=O)[C@@H]8CCC(=O)N8.CC(=O)O	acetic acid;(2S)-N-[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2R)-1-[[(2S)-1-[[(2S)-1-[(2S)-2-[(2-amino-2-oxoethyl)carbamoyl]pyrrolidin-1-yl]-5-(diaminomethylideneamino)-1-oxopentan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-3-(1H-indol-3-yl)-1-oxopropan-2-yl]amino]-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-(1H-indol-3-yl)-1-oxopropan-2-yl]amino]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]-5-oxopyrrolidine-2-carboxamide	CC(C)C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N)NC(=O)[C@@H](CC2=CNC3=CC=CC=C32)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CC7=CN=CN7)NC(=O)[C@@H]8CCC(=O)N8.CC(=O)O	25080282	
Risedronic Acid	DL198	3-E06	C1=CC(=CN=C1)CC(O)(P(=O)(O)O)P(=O)(O)O	(1-hydroxy-1-phosphono-2-pyridin-3-ylethyl)phosphonic acid	(1-hydroxy-1-phosphono-2-pyridin-3-ylethyl)phosphonic acid	5245	DB00884
Rocuronium Bromide	DL187	3-E07	CC(=O)O[C@H]1[C@H](C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(C[C@@H]([C@H](C4)O)N5CCOCC5)C)C)[N+]6(CCCC6)CC=C.[Br-]	[(2S,3S,5S,8R,9S,10S,13S,14S,16S,17R)-3-hydroxy-10,13-dimethyl-2-morpholin-4-yl-16-(1-prop-2-enylpyrrolidin-1-ium-1-yl)-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl] acetate;bromide	[(2S,3S,5S,8R,9S,10S,13S,14S,16S,17R)-3-hydroxy-10,13-dimethyl-2-morpholin-4-yl-16-(1-prop-2-enylpyrrolidin-1-ium-1-yl)-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl] acetate;bromide	22058233	
Vinorelbine 	NP461	3-E08	CCC1=C[C@@H]2C[C@@](C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC	methyl (1R,9R,10S,11R,12R,19R)-11-(acetyloxy)-12-ethyl-4-[(12S,14R)-16-ethyl-14-hydrogenio-12-(methoxycarbonyl)-1,10-diazatetracyclo[12.3.1.0³,¹¹.0⁴,⁹]octadeca-3(11),4(9),5,7,15-pentaen-12-yl]-10-hydroxy-5-methoxy-8-methyl-8,16-diazapentacyclo[10.6.1.0¹,⁹.0²,⁷.0¹⁶,¹⁹]nonadeca-2(7),3,5,13-tetraene-10-carboxylate	CCC1=C[C@@H]2C[C@@](C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC	13200033	
Salmeterol 	DL210	3-E09	C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O	2-(hydroxymethyl)-4-[1-hydroxy-2-[6-(4-phenylbutoxy)hexylamino]ethyl]phenol	2-(hydroxymethyl)-4-[1-hydroxy-2-[6-(4-phenylbutoxy)hexylamino]ethyl]phenol	5152	DB00938
Vincristine Sulfate	T117	3-E10	CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O	methyl (1R,9R,10S,11R,12R,19R)-11-(acetyloxy)-12-ethyl-4-[(1R,13S,15R,17S)-17-ethyl-15-hydrogenio-17-hydroxy-13-(methoxycarbonyl)-1,11-diazatetracyclo[13.3.1.0⁴,¹².0⁵,¹⁰]nonadeca-4(12),5(10),6,8-tetraen-13-yl]-8-formyl-10-hydroxy-5-methoxy-8,16-diazapentacyclo[10.6.1.0¹,⁹.0²,⁷.0¹⁶,¹⁹]nonadeca-2,4,6,13-tetraene-10-carboxylate	CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O	21867765	
Aspirin (Acetylsalicylic Acid)	430115	3-E11	CC(=O)OC1=CC=CC=C1C(=O)O	2-acetyloxybenzoic acid	2-acetyloxybenzoic acid	2244	DB00945
Acyclovir 	DL316	3-F02	C1=NC2=C(N1COCCO)NC(=NC2=O)N	2-amino-9-(2-hydroxyethoxymethyl)-3H-purin-6-one	2-amino-9-(2-hydroxyethoxymethyl)-3H-purin-6-one	135398513	DB00787
Zidovudine 	DL317	3-F03	CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-]	1-[(2R,4S,5S)-4-azido-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione	1-[(2R,4S,5S)-4-azido-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione	35370	DB00495
Allopurinol	DL318	3-F04	C1=C2C(=NC=NC2=O)NN1	1,2-dihydropyrazolo[3,4-d]pyrimidin-4-one	1,2-dihydropyrazolo[3,4-d]pyrimidin-4-one	135401907	DB00437
Altretamine	DL320	3-F05	CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C	2-N,2-N,4-N,4-N,6-N,6-N-hexamethyl-1,3,5-triazine-2,4,6-triamine	2-N,2-N,4-N,4-N,6-N,6-N-hexamethyl-1,3,5-triazine-2,4,6-triamine	2123	DB00488
Alendronate·Na Trihydrate	PR123	3-F06	C(CC(O)(P(=O)(O)O)P(=O)(O)[O-])CN.O.O.O.[Na+]	sodium;(4-amino-1-hydroxy-1-phosphonobutyl)-hydroxyphosphinate;trihydrate	sodium;(4-amino-1-hydroxy-1-phosphonobutyl)-hydroxyphosphinate;trihydrate	23681107	
Albendazole	DL321	3-F07	CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC	methyl N-(6-propylsulfanyl-1H-benzimidazol-2-yl)carbamate	methyl N-(6-propylsulfanyl-1H-benzimidazol-2-yl)carbamate	2082	DB00518
Sumatriptan Succinate	DL565	3-F08	CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C.C(CC(=O)O)C(=O)O	butanedioic acid;1-[3-[2-(dimethylamino)ethyl]-1H-indol-5-yl]-N-methylmethanesulfonamide	butanedioic acid;1-[3-[2-(dimethylamino)ethyl]-1H-indol-5-yl]-N-methylmethanesulfonamide	59772	
Amifostine	GR341	3-F09	C(CN)CNCCSP(=O)(O)O	2-(3-aminopropylamino)ethylsulfanylphosphonic acid	2-(3-aminopropylamino)ethylsulfanylphosphonic acid	2141	DB01143
4-Aminosalicylic Acid	DL325	3-F10	C1=CC(=C(C=C1N)O)C(=O)O	4-amino-2-hydroxybenzoic acid	4-amino-2-hydroxybenzoic acid	4649	DB00233
5-Aminosalicylic acid	430110	3-F11	C1=CC(=C(C=C1N)C(=O)O)O	5-amino-2-hydroxybenzoic acid	5-amino-2-hydroxybenzoic acid	4075	DB00244
Ampicillin Trihydrate	DL327	3-G02	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C.O.O.O	(2S,5R,6R)-6-[[(2R)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid;trihydrate	(2S,5R,6R)-6-[[(2R)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid;trihydrate	23565	
Atenolol	AC166	3-G03	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O	2-[4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]acetamide	2-[4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]acetamide	2249	DB00335
Atracurium Besylate	DL332	3-G04	C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C.C1=CC=C(C=C1)S(=O)(=O)[O-].C1=CC=C(C=C1)S(=O)(=O)[O-]	benzenesulfonate;5-[3-[1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxy-2-methyl-3,4-dihydro-1H-isoquinolin-2-ium-2-yl]propanoyloxy]pentyl 3-[1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxy-2-methyl-3,4-dihydro-1H-isoquinolin-2-ium-2-yl]propanoate	benzenesulfonate;5-[3-[1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxy-2-methyl-3,4-dihydro-1H-isoquinolin-2-ium-2-yl]propanoyloxy]pentyl 3-[1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxy-2-methyl-3,4-dihydro-1H-isoquinolin-2-ium-2-yl]propanoate	47320	DB00732
Vinblastine . sulfate	350257	3-G05	CC[C@@]1(CC2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O	methyl (1R,10S,11R,12R,19R)-11-(acetyloxy)-12-ethyl-4-[(1R,13S,15R,17S)-17-ethyl-15-hydrogenio-17-hydroxy-13-(methoxycarbonyl)-1,11-diazatetracyclo[13.3.1.0⁴,¹².0⁵,¹⁰]nonadeca-4(12),5,7,9-tetraen-13-yl]-10-hydroxy-5-methoxy-8-methyl-8,16-diazapentacyclo[10.6.1.0¹,⁹.0²,⁷.0¹⁶,¹⁹]nonadeca-2(7),3,5,13-tetraene-10-carboxylate	CC[C@@]1(CC2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O	9962911	
Azithromycin	DL335	3-G06	CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](CC([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O	(2R,3S,4R,5R,8R,11R,12S,13S,14R)-11-[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-2-ethyl-3,4,10-trihydroxy-13-[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl]oxy-3,5,6,8,10,12,14-heptamethyl-1-oxa-6-azacyclopentadecan-15-one	CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](CC([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O	6324605	
Aztreonam	DL336	3-G07	C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)/C(=N\OC(C)(C)C(=O)O)/C2=CSC(=N2)N	2-[(Z)-[1-(2-amino-1,3-thiazol-4-yl)-2-[[(2S,3S)-2-methyl-4-oxo-1-sulfoazetidin-3-yl]amino]-2-oxoethylidene]amino]oxy-2-methylpropanoic acid	Aztreonam	5742832	
Betamethasone	DL337	3-G08	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C	(8S,9R,10S,11S,13S,14S,16S,17R)-9-fluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one	(8S,9R,10S,11S,13S,14S,16S,17R)-9-fluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one	9782	DB00443
Bisacodyl	DL339	3-G09	CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3	[4-[(4-acetyloxyphenyl)-pyridin-2-ylmethyl]phenyl] acetate	[4-[(4-acetyloxyphenyl)-pyridin-2-ylmethyl]phenyl] acetate	2391	DB09020
Buspirone·HCl	DL341	3-G10	C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4.Cl	8-[4-(4-pyrimidin-2-ylpiperazin-1-yl)butyl]-8-azaspiro[4.5]decane-7,9-dione;hydrochloride	8-[4-(4-pyrimidin-2-ylpiperazin-1-yl)butyl]-8-azaspiro[4.5]decane-7,9-dione;hydrochloride	36431	
Carboplatin	400041	3-G11	C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt]	azane;cyclobutane-1,1-dicarboxylic acid;platinum	C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt]	25199580	
Carbamazepine	550084	3-H02	C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N	benzo[b][1]benzazepine-11-carboxamide	benzo[b][1]benzazepine-11-carboxamide	2554	DB00564
Cefotaxime Acid	DL347	3-H03	CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)O	(6R,7R)-3-(acetyloxymethyl)-7-[[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	Cefotaxime Acid	5742673	DB00493
Ceftazidime Hydrate	DL348	3-H04	CC(C)(C(=O)O)O/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]	(6R,7R)-7-[[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-(2-carboxypropan-2-yloxyimino)acetyl]amino]-8-oxo-3-(pyridin-1-ium-1-ylmethyl)-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate	(6R,7R)-7-[[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-(2-carboxypropan-2-yloxyimino)acetyl]amino]-8-oxo-3-(pyridin-1-ium-1-ylmethyl)-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate	57514439	
